Date,Open,High,Low,Close,Share Volume
08 Jun 1998,668.58,668.58,668.58,668.58,0
10 Jun 1998,667.93,667.93,667.93,667.93,0
11 Jun 1998,659.93,659.93,659.93,659.93,0
12 Jun 1998,639.77,639.77,639.77,639.77,0
15 Jun 1998,606.38,606.38,606.38,606.38,0
16 Jun 1998,613.02,613.02,613.02,613.02,0
17 Jun 1998,607.55,607.55,607.55,607.55,0
18 Jun 1998,616.55,616.55,616.55,616.55,0
19 Jun 1998,619.89,619.89,619.89,619.89,0
22 Jun 1998,608.57,608.57,608.57,608.57,0
23 Jun 1998,602.37,602.37,602.37,602.37,0
24 Jun 1998,584.16,584.16,584.16,584.16,0
25 Jun 1998,568.84,568.84,568.84,568.84,0
26 Jun 1998,578.86,578.86,578.86,578.86,0
29 Jun 1998,580.76,580.76,580.76,580.76,0
30 Jun 1998,580.92,580.92,580.92,580.92,0
01 Jul 1998,584.71,584.71,584.71,584.71,0
02 Jul 1998,589.56,589.56,589.56,589.56,0
03 Jul 1998,598.43,598.43,598.43,598.43,0
06 Jul 1998,598.77,598.77,598.77,598.77,0
08 Jul 1998,605.03,605.03,605.03,605.03,0
10 Jul 1998,612.64,612.64,612.64,612.64,0
13 Jul 1998,611.58,611.58,611.58,611.58,0
14 Jul 1998,604.63,604.63,604.63,604.63,0
15 Jul 1998,599.34,599.34,599.34,599.34,0
16 Jul 1998,595.42,595.42,595.42,595.42,0
17 Jul 1998,595.56,595.56,595.56,595.56,0
20 Jul 1998,591.71,591.71,591.71,591.71,0
21 Jul 1998,588.18,588.18,588.18,588.18,0
22 Jul 1998,586.91,586.91,586.91,586.91,0
23 Jul 1998,581.06,581.06,581.06,581.06,0
24 Jul 1998,587.87,587.87,587.87,587.87,0
27 Jul 1998,588.97,588.97,588.97,588.97,0
28 Jul 1998,590.58,590.58,590.58,590.58,0
29 Jul 1998,590.86,590.86,590.86,590.86,0
30 Jul 1998,597.98,597.98,597.98,597.98,0
31 Jul 1998,596.27,596.27,596.27,596.27,0
03 Aug 1998,593.22,593.22,593.22,593.22,0
04 Aug 1998,588.96,588.96,588.96,588.96,0
05 Aug 1998,590.3,590.3,590.3,590.3,0
06 Aug 1998,592.11,592.11,592.11,592.11,0
10 Aug 1998,587.11,587.11,587.11,587.11,0
11 Aug 1998,584.48,584.48,584.48,584.48,0
12 Aug 1998,581.58,581.58,581.58,581.58,0
13 Aug 1998,575.43,575.43,575.43,575.43,0
14 Aug 1998,561.3,561.3,561.3,561.3,0
17 Aug 1998,559.41,559.41,559.41,559.41,0
18 Aug 1998,554.75,554.75,554.75,554.75,0
19 Aug 1998,552.13,552.13,552.13,552.13,0
20 Aug 1998,540.68,540.68,540.68,540.68,0
21 Aug 1998,533.08,533.08,533.08,533.08,0
24 Aug 1998,518.24,518.24,518.24,518.24,0
25 Aug 1998,505.23,505.23,505.23,505.23,0
26 Aug 1998,515.67,515.67,515.67,515.67,0
27 Aug 1998,518.85,518.85,518.85,518.85,0
28 Aug 1998,506.99,506.99,506.99,506.99,0
31 Aug 1998,496.0,496.0,496.0,496.0,0
01 Sep 1998,476.27,476.27,476.27,476.27,0
02 Sep 1998,464.43,464.43,464.43,464.43,0
03 Sep 1998,460.95,460.95,460.95,460.95,0
04 Sep 1998,463.64,463.64,463.64,463.64,0
07 Sep 1998,465.85,465.85,465.85,465.85,0
08 Sep 1998,473.68,473.68,473.68,473.68,0
09 Sep 1998,476.23,476.23,476.23,476.23,0
10 Sep 1998,482.24,482.24,482.24,482.24,0
11 Sep 1998,488.87,488.87,488.87,488.87,0
14 Sep 1998,490.82,490.82,490.82,490.82,0
15 Sep 1998,500.25,500.25,500.25,500.25,0
16 Sep 1998,506.97,506.97,506.97,506.97,0
17 Sep 1998,499.46,499.46,499.46,499.46,0
18 Sep 1998,490.51,490.51,490.51,490.51,0
21 Sep 1998,493.41,493.41,493.41,493.41,0
